Territory,LOCATION_NAME,subcategory,BRAND,QTY_KG_RTM,QTY_KG_RTM_NORM_BRANDWISE,QTY_SHARE_REGION_BRAND,WS_TERRITORY,WEIGHT FACTOR,AWS
CENTRAL,ARCHERS POST,bar soap,NDUME,1044,0.008263994,0.001415597,10.97780161,0.008263994,0.090720491
CENTRAL,ARCHERS POST,bar soap,WHITEWASH,42,0.000615458,0.000357603,,0.001519314,
CENTRAL,ARCHERS POST,bathing soap,4U,6,8.95E-05,0.000478307,,0.002790698,
CENTRAL,ARCHERS POST,bathing soap,DETREX,0,0,0,66.28906039,0,0
CENTRAL,ARCHERS POST,lotion,BELLEZA,4.781,0.002838164,0.000600954,,0.008469995,
CENTRAL,ARCHERS POST,lotion,FRESCO,5.378625,0.005370352,0.000966305,,0.012867201,
CENTRAL,ARCHERS POST,milking jelly,SAWA MILKING JELLY,6.12,5.84E-05,4.01E-05,,0.004037106,
CENTRAL,ARCHERS POST,oil,POPCO,1021.126,0.011521054,0.005785933,44.00430178,0.011521054,0.506975943
CENTRAL,ARCHERS POST,oil,SALIT,891,0.008312281,0.000789888,33.57641678,0.011835743,0.397401824
CENTRAL,ARCHERS POST,toilet soap,SAWA SOAP,58.3,0.000558197,0.000382402,,0.003478726,
CENTRAL,CHAARIA,bar soap,USHINDI BAR,2.4,0.000117886,3.30E-05,58.4682421,0.000340416,0.019903518
CENTRAL,CHAARIA,bar soap,WHITEWASH,1.575,2.31E-05,1.34E-05,,5.70E-05,
CENTRAL,CHAARIA,bathing soap,DETREX,7.476,0.000223342,0.000251568,66.28906039,0.001221301,0.080958909
CENTRAL,CHAARIA,bathing soap,SAWA SOAP,1.3,1.22E-05,8.53E-06,,0.000583283,
CENTRAL,CHAARIA,lotion,BELLEZA,0.199208333,6.04E-05,2.50E-05,,0.000180213,
CENTRAL,CHAARIA,lotion,FRESCO,0.2988125,0.000202655,5.37E-05,,0.000485555,
CENTRAL,CHAARIA,margarine,ONJA,0.75,0.000205107,0.00016976,95.89977833,0.001325381,0.127103749
CENTRAL,CHAARIA,milking jelly,SAWA MILKING JELLY,1.207,1.14E-05,7.92E-06,,0.000784915,
CENTRAL,CHAARIA,oil,FRESH FRI,62.372,0.000834724,0.000226339,44.40835361,0.002652453,0.117791087
CENTRAL,CHAARIA,oil,SALIT,1.3365,8.32E-06,1.18E-06,33.57641678,1.18E-05,0.000397601
CENTRAL,CHAARIA,toilet soap,SAWA SOAP,12.59,0.000120384,8.26E-05,,0.000750243,
CENTRAL,CHAKA,bar soap,USHINDI BAR,27.45,0.001348316,0.000377345,58.4682421,0.003893507,0.227646485
CENTRAL,CHAKA,bar soap,WHITEWASH,25.9,0.000379532,0.000220522,,0.00093691,
RIFT VALLEY,NAKURU,bathing soap,AFRISENSE,1105.495,1,0.534041366,,1,
CENTRAL,CHAKA,bathing soap,DETREX,9.44,0.000282015,0.000317657,66.28906039,0.001542146,0.102227408
CENTRAL,CHAKA,bathing soap,SAWA SOAP,17.625,0.00016861,0.000115606,,0.008029685,
CENTRAL,CHAKA,dishwashing liquid,USHINDI DISHWASHING LIQUID,11.099,0.000545172,0.000152574,,0.009497853,
CENTRAL,CHAKA,dishwashing paste,USHINDI DISHWASHING PASTE,1.2,5.89E-05,1.65E-05,,0.001375831,
CENTRAL,CHAKA,fat,DIRIA,24,0.000490425,0.000835138,47.16697108,0.002167011,0.102211347
CENTRAL,CHAKA,fat,FRYMATE,100,0.00346708,0.002626285,37.92318682,0.013536494,0.513346995
CENTRAL,CHAKA,glycerine,SAWA GLYCERINE,7.754979167,7.41E-05,5.09E-05,,0.016441855,
CENTRAL,CHAKA,lotion,BELLEZA,9.8608125,0.005917874,0.001239468,,0.01766084,
CENTRAL,CHAKA,lotion,FRESCO,1.693270833,0.001621238,0.000304207,,0.003884438,
CENTRAL,CHAKA,margarine,ONJA,1.25,0.000410214,0.000282933,95.89977833,0.002650762,0.254207497
CENTRAL,CHAKA,milking jelly,SAWA MILKING JELLY,4.958166667,4.73E-05,3.25E-05,,0.003268023,
CENTRAL,CHAKA,oil,FRESH FRI,109.1605,0.001469968,0.000396128,44.40835361,0.004671033,0.2074329
CENTRAL,CHAKA,oil,POPCO,89.1,0.000950007,0.000504861,44.00430178,0.000950007,0.041804381
